Id,SalePrice
1461,120845.83905092698
1462,168011.39109121368
1463,192140.53488817782
1464,203144.26954662826
1465,191645.48513581534
1466,173350.84325000044
1467,178942.46842286558
1468,165918.58232137075
1469,194778.67937925557
1470,124836.11836543394
1471,184590.5752726675
1472,95036.01775305587
1473,94651.75130244852
1474,148581.2461979431
1475,113748.10424179563
1476,368546.6134394219
1477,253343.58066707553
1478,296087.5693281957
1479,289471.98041948804
1480,532247.7429757477
1481,324029.1334018846
1482,213927.1179458769
1483,183207.86696848753
1484,165663.93740961826
1485,183617.70743576033
1486,195522.3290605905
1487,349287.6549380208
1488,234681.90667808882
1489,198088.15775066914
1490,250556.73262674877
1491,196195.35174190148
1492,92407.2172429007
1493,185955.4837873874
1494,285368.3521965348
1495,290959.7706143969
1496,242075.61715253696
1497,184042.2120777866
1498,169713.59654662097
1499,167275.90233726424
1500,163058.64870018337
1501,180938.91580662865
1502,143449.30301637802
1503,300084.8684238877
1504,241748.08082194408
1505,229285.89054444566
1506,191235.93615905542
1507,258852.70068570878
1508,205172.76527752235
1509,161444.11136786215
1510,146232.12818349712
1511,147506.53467399583
1512,173280.2865323747
1513,148016.73878897936
1514,160120.83106444374
1515,190089.4156189267
1516,152741.54046330624
1517,174862.05975725723
1518,126806.96687404586
1519,215234.06644785832
1520,130766.90577591257
1521,136623.5751270512
1522,179123.53997338566
1523,114395.93238520555
1524,125696.28707153701
1525,124919.28039089535
1526,115995.6507266518
1527,106081.07473705788
1528,134846.1616756592
1529,151544.86827107472
1530,179705.6067108738
1531,108631.41585676302
1532,92762.7313284356
1533,148396.50045587373
1534,116636.7683501116
1535,149576.6540124546
1536,105649.15932802104
1537,58456.57395411403
1538,164608.860019097
1539,198057.61398739886
1540,96077.3923921614
1541,146653.91100369173
1542,139381.74376877912
1543,194636.47458725556
1544,83521.87933968416
1545,115632.42092723979
1546,132500.86629391435
1547,130109.6947840381
1548,135516.01902495325
1549,117035.37966666243
1550,128405.64081008744
1551,103478.76675608709
1552,138342.28130482158
1553,155125.34310554367
1554,121896.65834754388
1555,167344.4892094301
1556,89815.39644099702
1557,112068.71990835994
1558,101915.41804787997
1559,73477.91301634356
1560,128403.58584228603
1561,136770.75773845895
1562,132061.88851185594
1563,122242.76279880936
1564,161933.34754584893
1565,153126.81283454632
1566,243186.66120246483
1567,78635.6335506803
1568,240537.70593083202
1569,128672.91634136169
1570,136884.1892402072
1571,115396.23487785438
1572,141322.458046754
1573,240408.09705179653
1574,119871.55998568083
1575,233658.94551928496
1576,252023.64619930225
1577,182209.36127377168
1578,148888.71892639576
1579,148688.39309225781
1580,192907.10636276353
1581,162042.05324251336
1582,127529.44644197343
1583,305182.6550203598
1584,218096.74759776986
1585,138556.75786640443
1586,68133.77348653364
1587,104377.46731138714
1588,149611.92774392304
1589,100751.96941642297
1590,132915.98973071252
1591,94005.4261988441
1592,113929.8654427458
1593,124629.1657809646
1594,133005.68681338677
1595,109399.61876967264
1596,211965.25847652022
1597,184396.5307534237
1598,214348.92995134785
1599,161423.7339292433
1600,152452.51765735602
1601,63180.120348327306
1602,117251.68336023887
1603,79105.6107732418
1604,250396.59057343478
1605,238657.9920364405
1606,170229.84682101035
1607,167425.7849881634
1608,215890.45787644814
1609,180722.31825945817
1610,152482.82199997333
1611,137611.23642381126
1612,169046.72398571717
1613,163792.88137461452
1614,123043.14258540013
1615,91620.84182172403
1616,77799.01609419094
1617,92958.11228230491
1618,128955.70018814372
1619,146302.67272028077
1620,150325.87850587693
1621,139756.33605115034
1622,137567.114266973
1623,251105.27706986628
1624,217860.50753848543
1625,116997.77888871105
1626,163310.94133099797
1627,194470.7388478901
1628,286144.6210139851
1629,180414.55439089454
1630,372472.6484546089
1631,224377.0830943166
1632,246592.59664880848
1633,166252.16677937104
1634,185859.05886203676
1635,175673.60572486094
1636,150298.71163531346
1637,208464.17766233045
1638,196043.88761931716
1639,183225.7917256719
1640,250039.8251070861
1641,179518.41872291427
1642,239255.30087502568
1643,229501.13474429745
1644,237425.44562201155
1645,195537.75087582218
1646,159073.4463052574
1647,156203.11087988017
1648,127479.65783660598
1649,138289.761136839
1650,114658.22864067396
1651,122777.79096395837
1652,95936.37393019634
1653,102475.39634962255
1654,143387.03548309504
1655,140856.02039927786
1656,142260.54668862213
1657,148232.84104891185
1658,141649.87499760624
1659,122363.93554830411
1660,155330.43425379356
1661,459696.51148097735
1662,407321.95184685953
1663,377332.52528932283
1664,584847.8485310093
1665,301010.8941840882
1666,330103.4295896583
1667,391261.822235971
1668,332448.34088007716
1669,299249.26997014787
1670,339327.2297573878
1671,260918.71352684218
1672,456162.8365487821
1673,294236.0600989892
1674,244357.7006131835
1675,199803.59743947646
1676,198608.71638248692
1677,224190.31221443333
1678,536713.8331377269
1679,397729.70091451297
1680,331262.09418989724
1681,238829.68701084045
1682,308576.9670414201
1683,184362.66818413528
1684,171938.04206337774
1685,172014.2832992916
1686,171260.04520698215
1687,164642.86144004983
1688,190846.71183021239
1689,193576.6767134074
1690,193214.3660353062
1691,181393.19626656288
1692,260509.97450795362
1693,167002.08344776309
1694,184124.49414725666
1695,161032.69922573402
1696,275147.8510454643
1697,168165.02745661017
1698,356707.52615544025
1699,309380.011178442
1700,257992.69115429762
1701,269756.21113439655
1702,264700.64972463675
1703,252801.14232858946
1704,285430.2726899717
1705,233318.12170199107
1706,478148.01850469346
1707,210938.67233837442
1708,203610.71355952296
1709,271736.8975575149
1710,224870.49374994542
1711,272549.26449349057
1712,258165.0619900743
1713,279990.89734368876
1714,230130.1004494442
1715,210723.28245257586
1716,181468.46659777974
